Data,Temperatura,Umiditate,ValoareSenzorMq135,CalitateAer,IndiceConfort
2024-06-02 15:54:08,30.8,49.6,99860353.18546683,Calitate Foarte Buna a Aerului sub 300 ppm,79.28
2024-06-02 15:54:11,30.7,49.6,99861076.51993763,Calitate Foarte Buna a Aerului sub 300 ppm,79.15
2024-06-02 15:54:14,30.7,49.9,99860392.69899175,Calitate Foarte Buna a Aerului sub 300 ppm,79.20
2024-06-02 15:54:17,30.8,50.3,99860785.21790679,Calitate Foarte Buna a Aerului sub 300 ppm,79.39
2024-06-02 15:54:20,30.8,50.2,99860095.17569828,Calitate Foarte Buna a Aerului sub 300 ppm,79.38
2024-06-02 15:54:23,30.8,50.0,99860075.24425015,Calitate Foarte Buna a Aerului sub 300 ppm,79.34
2024-06-02 15:54:26,30.8,49.6,99860214.51021947,Calitate Foarte Buna a Aerului sub 300 ppm,79.28
2024-06-02 15:54:29,30.7,49.6,99861613.3363799,Calitate Foarte Buna a Aerului sub 300 ppm,79.15
2024-06-02 15:54:32,30.7,49.4,99860015.37706523,Calitate Foarte Buna a Aerului sub 300 ppm,79.12
2024-06-02 15:54:35,30.8,49.7,99861153.75879261,Calitate Foarte Buna a Aerului sub 300 ppm,79.30
2024-06-02 15:54:38,30.7,49.4,99861153.75879261,Calitate Foarte Buna a Aerului sub 300 ppm,79.12
2024-06-02 15:54:41,30.7,49.6,99861211.56669162,Calitate Foarte Buna a Aerului sub 300 ppm,79.15
2024-06-02 15:54:44,30.8,49.8,99861211.56669162,Calitate Foarte Buna a Aerului sub 300 ppm,79.31
2024-06-02 15:54:47,30.7,49.5,99860530.62024611,Calitate Foarte Buna a Aerului sub 300 ppm,79.13
2024-06-02 15:54:50,30.8,49.4,99861460.87386528,Calitate Foarte Buna a Aerului sub 300 ppm,79.25
